[0]  name=Unicorn; desc=It's a unicorn; cmd=; level = 21
[32]  name=Father Lawrence; desc=A kindly looking priest; cmd=; level = 0
[33]  name=Apothecary; desc=I wonder if he has any good potions; cmd=; level = 10
[34]  name=spider; desc=Incey wincey; cmd=; level = 5
[35]  name=Delrith; desc=A freshly summoned demon; cmd=; level = 42
[36]  name=Veronica; desc=She doesn't look too happy; cmd=; level = 1
[37]  name=Weaponsmaster; desc=The phoenix gang quartermaster; cmd=; level = 35
[38]  name=Professor Oddenstein; desc=A mad scientist if I ever saw one; cmd=; level = 3
[39]  name=Curator; desc=He looks like he's daydreaming; cmd=; level = 3
[40]  name=skeleton; desc=It rattles as it walks; cmd=; level = 24
[41]  name=zombie; desc=The living dead; cmd=; level = 23
[42]  name=king; desc=King Roald the VIII; cmd=; level = 15
[43]  name=Giant bat; desc=An angry flying rodent; cmd=; level = 32
[44]  name=Bartender; desc=A friendly barman; cmd=; level = 0
[45]  name=skeleton; desc=It rattles as it walks; cmd=; level = 32
[46]  name=skeleton; desc=It rattles as it walks; cmd=; level = 27
[47]  name=Rat; desc=overgrown vermin; cmd=; level = 16
[48]  name=Horvik the Armourer; desc=He looks strong; cmd=; level = 15
[49]  name=Bear; desc=A  bear; cmd=; level = 0
[50]  name=skeleton; desc=It rattles when it walks; cmd=; level = 20
[51]  name=Shopkeeper; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[52]  name=zombie; desc=The living dead; cmd=; level = 18
[53]  name=Ghost; desc=Ooh spooky; cmd=; level = 23
[54]  name=Aubury; desc=I think he might be a shop keeper; cmd=; level = 0
[55]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[56]  name=shopkeeper; desc=I can buy swords off him; cmd=; level = 0
[57]  name=Darkwizard; desc=He works evil magic; cmd=; level = 15
[58]  name=lowe; desc=The owner of the archery store; cmd=; level = 0
[59]  name=Thessalia; desc=A young shop assistant; cmd=; level = 0
[60]  name=Darkwizard; desc=He works evil magic; cmd=; level = 27
[61]  name=Giant; desc=A very large foe; cmd=; level = 37
[62]  name=Goblin; desc=An ugly green creature; cmd=; level = 8
[63]  name=farmer; desc=He grows the crops in this area; cmd=pickpocket; level = 15
[64]  name=Thief; desc=He'll take anything that isn't nailed down; cmd=; level = 24
[65]  name=Guard; desc=He tries to keep order around here; cmd=pickpocket; level = 31
[66]  name=Black Knight; desc=A sinister looking knight; cmd=; level = 45
[67]  name=Hobgoblin; desc=A large ugly green creature; cmd=; level = 32
[68]  name=zombie; desc=The living dead; cmd=; level = 32
[69]  name=Zaff; desc=He trades in staffs; cmd=; level = 0
[70]  name=Scorpion; desc=An extremely vicious scorpion; cmd=; level = 21
[71]  name=silk trader; desc=He sells silk; cmd=; level = 0
[72]  name=Man; desc=One of Runescapes many citizens; cmd=pickpocket; level = 11
[73]  name=Guide; desc=He gives hints to new adventurers; cmd=; level = 0
[74]  name=Giant Spider; desc=I think this spider has been genetically modified; cmd=; level = 30
[75]  name=Peksa; desc=A helmet salesman; cmd=; level = 11
[76]  name=Barbarian; desc=Not civilised looking; cmd=; level = 18
[77]  name=Fred the farmer; desc=An old farmer; cmd=; level = 11
[78]  name=Gunthor the Brave; desc=The barbarians fearless leader; cmd=; level = 37
[79]  name=Witch; desc=She's got warts; cmd=; level = 35
[80]  name=Ghost; desc=Ooh spooky; cmd=; level = 23
[81]  name=Wizard; desc=An old wizard; cmd=; level = 18
[82]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[83]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[84]  name=Zeke; desc=He sells Scimitars; cmd=; level = 0
[85]  name=Louie Legs; desc=He might want to sell something; cmd=; level = 0
[86]  name=Warrior; desc=A member of Al Kharid's military; cmd=pickpocket; level = 20
[87]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[88]  name=Shop Assistant; desc=Maybe she'd like to buy some of my junk; cmd=; level = 0
[89]  name=Highwayman; desc=He holds up passers by; cmd=; level = 14
[90]  name=Kebab Seller; desc=A seller of strange food; cmd=; level = 0
[91]  name=Chicken; desc=Yep definitely a chicken; cmd=; level = 3
[92]  name=Ernest; desc=A former chicken; cmd=; level = 3
[93]  name=Monk; desc=A Peaceful monk; cmd=; level = 12
[94]  name=Dwarf; desc=A short angry guy; cmd=; level = 20
[95]  name=Banker; desc=He can look after my money; cmd=; level = 11
[96]  name=Count Draynor; desc=A vicious vampire; cmd=; level = 40
[97]  name=Morgan; desc=A frigtened villager; cmd=; level = 11
[98]  name=Dr Harlow; desc=His nose is very red; cmd=; level = 11
[99]  name=Deadly Red spider; desc=I think this spider has been genetically modified; cmd=; level = 40
[100]  name=Guard; desc=He's here to guard this fortress; cmd=pickpocket; level = 31
[101]  name=Cassie; desc=She sells shields; cmd=; level = 35
[102]  name=White Knight; desc=A chivalrous knight; cmd=; level = 55
[103]  name=Ranael; desc=A shopkeeper of some sort; cmd=; level = 35
[104]  name=Moss Giant; desc=his beard seems to have a life of its own; cmd=; level = 62
[105]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[106]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[107]  name=Witch; desc=She's got warts; cmd=; level = 35
[108]  name=Black Knight; desc=A sinister looking knight; cmd=; level = 45
[109]  name=Greldo; desc=A small green warty creature; cmd=; level = 8
[110]  name=Sir Amik Varze; desc=The leader of the white knights; cmd=; level = 55
[111]  name=Guildmaster; desc=He's in charge of this place; cmd=; level = 40
[112]  name=Valaine; desc=She runs the champion's store; cmd=; level = 35
[113]  name=Drogo; desc=He runs a mining store; cmd=; level = 20
[114]  name=Imp; desc=A cheeky little imp; cmd=; level = 4
[115]  name=Flynn; desc=The mace salesman; cmd=; level = 15
[116]  name=Wyson the gardener; desc=An old gardener; cmd=; level = 10
[117]  name=Wizard Mizgog; desc=An old wizard; cmd=; level = 20
[118]  name=Prince Ali; desc=A young prince; cmd=; level = 20
[119]  name=Hassan; desc=the Chancellor to the emir; cmd=; level = 20
[120]  name=Osman; desc=He looks a little shifty; cmd=; level = 20
[121]  name=Joe; desc=Lady Keli's head guard; cmd=; level = 40
[122]  name=Leela; desc=She comes from Al Kharid; cmd=; level = 20
[123]  name=Lady Keli; desc=An Infamous bandit; cmd=; level = 20
[124]  name=Ned; desc=An old sailor; cmd=; level = 20
[125]  name=Aggie; desc=A witch; cmd=; level = 35
[126]  name=Prince Ali; desc=That is an effective disguise; cmd=; level = 10
[127]  name=Jailguard; desc=I wonder what he's guarding; cmd=; level = 34
[128]  name=Redbeard Frank; desc=A pirate; cmd=; level = 35
[129]  name=Wydin; desc=A grocer; cmd=; level = 0
[130]  name=shop assistant; desc=I can buy swords off him; cmd=; level = 0
[131]  name=Brian; desc=An axe seller; cmd=; level = 0
[132]  name=squire; desc=A young squire; cmd=; level = 0
[133]  name=Head chef; desc=He looks after the chef's guild; cmd=; level = 20
[134]  name=Thurgo; desc=A short angry guy; cmd=; level = 20
[135]  name=Ice Giant; desc=He's got icicles in his beard; cmd=; level = 67
[136]  name=King Scorpion; desc=Wow scorpions shouldn't grow that big; cmd=; level = 40
[137]  name=Pirate; desc=A vicious pirate; cmd=; level = 35
[138]  name=Sir Vyvin; desc=One of the white knights of Falador; cmd=; level = 55
[139]  name=Monk of Zamorak; desc=An evil cleric; cmd=; level = 28
[140]  name=Monk of Zamorak; desc=An evil cleric; cmd=; level = 18
[141]  name=Wayne; desc=An armourer; cmd=; level = 15
[142]  name=Barmaid; desc=a pretty barmaid; cmd=; level = 35
[143]  name=Dwarven shopkeeper; desc=I wonder if he wants to buy any of my junk; cmd=; level = 20
[144]  name=Doric; desc=A dwarven smith; cmd=; level = 20
[145]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[146]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[147]  name=Guide; desc=She gives hints to new adventurers; cmd=; level = 0
[148]  name=Hetty; desc=A witch; cmd=; level = 35
[149]  name=Betty; desc=A witch; cmd=; level = 35
[150]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[151]  name=General wartface; desc=An ugly green creature; cmd=; level = 16
[152]  name=General Bentnoze; desc=An ugly green creature; cmd=; level = 16
[153]  name=Goblin; desc=An ugly green creature; cmd=; level = 16
[154]  name=Goblin; desc=An ugly green creature; cmd=; level = 16
[155]  name=Herquin; desc=A gem merchant; cmd=; level = 0
[156]  name=Rommik; desc=The owner of the crafting shop; cmd=; level = 0
[157]  name=Grum; desc=Grum the goldsmith; cmd=; level = 0
[158]  name=Ice warrior; desc=A strange inhuman warrior; cmd=; level = 57
[159]  name=Warrior; desc=A skilled fighter; cmd=pickpocket; level = 35
[160]  name=Thrander; desc=A smith of some sort; cmd=; level = 15
[161]  name=Border Guard; desc=a guard from Al Kharid; cmd=; level = 20
[162]  name=Border Guard; desc=a guard from Al Kharid; cmd=; level = 20
[163]  name=Customs Officer; desc=She is here to stop smugglers; cmd=; level = 23
[164]  name=Luthas; desc=The owner of the banana plantation; cmd=; level = 23
[165]  name=Zambo; desc=He will sell me exotic rum; cmd=; level = 23
[166]  name=Captain Tobias; desc=An old sailor; cmd=; level = 20
[167]  name=Gerrant; desc=I wonder what he's got for sale; cmd=; level = 0
[168]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[169]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[170]  name=Seaman Lorris; desc=A young sailor; cmd=; level = 20
[171]  name=Seaman Thresnor; desc=A young sailor; cmd=; level = 20
[172]  name=Tanner; desc=He makes leather; cmd=; level = 20
[173]  name=Dommik; desc=The owner of the crafting shop; cmd=; level = 0
[174]  name=Abbot Langley; desc=A Peaceful monk; cmd=; level = 12
[175]  name=Thordur; desc=He runs a a tourist attraction; cmd=; level = 20
[176]  name=Brother Jered; desc=human; cmd=; level = 12
[177]  name=Rat; desc=Overgrown vermin; cmd=; level = 16
[178]  name=Ghost; desc=Ooh spooky; cmd=; level = 23
[179]  name=skeleton; desc=it rattles when it walks; cmd=; level = 32
[180]  name=zombie; desc=the living dead; cmd=; level = 32
[181]  name=Lesser Demon; desc=Lesser but still very big; cmd=; level = 78
[182]  name=Melzar the mad; desc=He looks totally insane; cmd=; level = 47
[183]  name=Scavvo; desc=He has lopsided eyes; cmd=; level = 10
[184]  name=Greater Demon; desc=big red and incredibly evil; cmd=; level = 86
[185]  name=Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[186]  name=Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[187]  name=Oziach; desc=A strange little man; cmd=; level = 0
[188]  name=Bear; desc=Eek! A bear!; cmd=; level = 27
[189]  name=Black Knight; desc=An armoured follower of Zamorak; cmd=; level = 45
[190]  name=chaos Dwarf; desc=a dwarf gone bad; cmd=; level = 58
[191]  name=dwarf; desc=A dwarf who looks after the mining guild; cmd=; level = 20
[192]  name=Wormbrain; desc=Dumb even by goblin standards; cmd=; level = 8
[193]  name=Klarense; desc=A young sailor; cmd=; level = 20
[194]  name=Ned; desc=An old sailor; cmd=; level = 20
[195]  name=skeleton; desc=A Taller than normal skeleton; cmd=; level = 52
[196]  name=Dragon; desc=A powerful and ancient dragon; cmd=; level = 110
[197]  name=Oracle; desc=A mystic of unknown race; cmd=; level = 57
[198]  name=Duke of Lumbridge; desc=Duke Horacio of Lumbridge; cmd=; level = 15
[199]  name=Dark Warrior; desc=A warrior touched by chaos; cmd=; level = 20
[200]  name=Druid; desc=A worshipper of Guthix; cmd=; level = 28
[201]  name=Red Dragon; desc=A big powerful dragon; cmd=; level = 140
[202]  name=Blue Dragon; desc=A mother dragon; cmd=; level = 105
[203]  name=Baby Blue Dragon; desc=Young but still dangerous; cmd=; level = 50
[204]  name=Kaqemeex; desc=A wise druid; cmd=; level = 28
[205]  name=Sanfew; desc=An old druid; cmd=; level = 28
[206]  name=Suit of armour; desc=A dusty old suit of armour; cmd=; level = 30
[207]  name=Adventurer; desc=A cleric; cmd=; level = 12
[208]  name=Adventurer; desc=A wizard; cmd=; level = 20
[209]  name=Adventurer; desc=A Warrior; cmd=; level = 55
[210]  name=Adventurer; desc=An archer; cmd=; level = 35
[211]  name=Leprechaun; desc=A funny little man who lives in a tree; cmd=; level = 20
[212]  name=Monk of entrana; desc=A Peaceful monk; cmd=; level = 12
[213]  name=Monk of entrana; desc=A Peaceful monk; cmd=; level = 12
[214]  name=zombie; desc=The living dead; cmd=; level = 32
[215]  name=Monk of entrana; desc=A Peaceful monk; cmd=; level = 12
[216]  name=tree spirit; desc=Ooh spooky; cmd=; level = 100
[217]  name=cow; desc=It's a dairy cow; cmd=; level = 9
[218]  name=Irksol; desc=Is he invisible or just a set of floating clothes?; cmd=; level = 2
[219]  name=Fairy Lunderwin; desc=A fairy merchant; cmd=; level = 2
[220]  name=Jakut; desc=An unusual looking merchant; cmd=; level = 2
[221]  name=Doorman; desc=He guards the entrance to the faerie market; cmd=; level = 55
[222]  name=Fairy Shopkeeper; desc=I wonder what he's got for sale; cmd=; level = 0
[223]  name=Fairy Shop Assistant; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[224]  name=Fairy banker; desc=He can look after my money; cmd=; level = 11
[225]  name=Giles; desc=He runs an ore exchange store; cmd=; level = 30
[226]  name=Miles; desc=He runs a bar exchange store; cmd=; level = 30
[227]  name=Niles; desc=He runs a fish exchange store; cmd=; level = 30
[228]  name=Gaius; desc=he sells very big swords; cmd=; level = 15
[229]  name=Fairy Ladder attendant; desc=A worker in the faerie market; cmd=; level = 0
[230]  name=Jatix; desc=A hard working druid; cmd=; level = 28
[231]  name=Master Crafter; desc=The man in charge of the crafter's guild; cmd=; level = 0
[232]  name=Bandit; desc=He's ready for a fight; cmd=; level = 32
[233]  name=Noterazzo; desc=A bandit shopkeeper; cmd=; level = 32
[234]  name=Bandit; desc=A wilderness outlaw; cmd=; level = 32
[235]  name=Fat Tony; desc=A Gourmet Pizza chef; cmd=; level = 20
[236]  name=Donny the lad; desc=A bandit leader; cmd=; level = 42
[237]  name=Black Heather; desc=A bandit leader; cmd=; level = 42
[238]  name=Speedy Keith; desc=A bandit leader; cmd=; level = 42
[239]  name=White wolf sentry; desc=A vicious mountain wolf; cmd=; level = 30
[240]  name=Boy; desc=He doesn't seem very happy; cmd=; level = 42
[241]  name=Rat; desc=He seems to live here; cmd=; level = 3
[242]  name=Nora T Hag; desc=She's got warts; cmd=; level = 35
[243]  name=Grey wolf; desc=A sinister looking wolf; cmd=; level = 60
[244]  name=shapeshifter; desc=I've not seen anyone like this before; cmd=; level = 28
[245]  name=shapeshifter; desc=I think this spider has been genetically modified; cmd=; level = 38
[246]  name=shapeshifter; desc=Eek! A bear!; cmd=; level = 48
[247]  name=shapeshifter; desc=A sinister looking wolf; cmd=; level = 58
[248]  name=White wolf; desc=A vicious mountain wolf; cmd=; level = 40
[249]  name=Pack leader; desc=A vicious mountain wolf; cmd=; level = 70
[250]  name=Harry; desc=I wonder what he's got for sale; cmd=; level = 0
[251]  name=Thug; desc=He likes hitting things; cmd=; level = 19
[252]  name=Firebird; desc=Probably not a chicken; cmd=; level = 6
[253]  name=Achetties; desc=One of Asgarnia's greatest heros; cmd=; level = 45
[254]  name=Ice queen; desc=The leader of the ice warriors; cmd=; level = 105
[255]  name=Grubor; desc=A rough looking thief; cmd=; level = 15
[256]  name=Trobert; desc=A well dressed thief; cmd=; level = 14
[257]  name=Garv; desc=A diligent guard; cmd=; level = 31
[258]  name=guard; desc=A vicious pirate; cmd=; level = 35
[259]  name=Grip; desc=Scar face petes head guard; cmd=; level = 31
[260]  name=Alfonse the waiter; desc=He should get a clean apron; cmd=; level = 11
[261]  name=Charlie the cook; desc=Head cook of the Shrimp and parrot; cmd=; level = 20
[262]  name=Guard Dog; desc=He doesn't seem pleased to see me; cmd=; level = 45
[263]  name=Ice spider; desc=I think this spider has been genetically modified; cmd=; level = 60
[264]  name=Pirate; desc=A vicious pirate; cmd=; level = 38
[265]  name=Jailer; desc=Guards prisoners for the black knights; cmd=; level = 50
[266]  name=Lord Darquarius; desc=A black knight commander; cmd=; level = 75
[267]  name=Seth; desc=He runs a fish exchange store; cmd=; level = 30
[268]  name=Banker; desc=He can look after my money; cmd=; level = 11
[269]  name=Helemos; desc=A retired hero; cmd=; level = 45
[270]  name=Chaos Druid; desc=A crazy evil druid; cmd=; level = 18
[271]  name=Poison Scorpion; desc=It has a very vicious looking tail; cmd=; level = 26
[272]  name=Velrak the explorer; desc=he looks cold and hungry; cmd=; level = 3
[273]  name=Sir Lancelot; desc=A knight of the round table; cmd=; level = 55
[274]  name=Sir Gawain; desc=A knight of the round table; cmd=; level = 55
[275]  name=King Arthur; desc=A wise old king; cmd=; level = 55
[276]  name=Sir Mordred; desc=An evil knight; cmd=; level = 57
[277]  name=Renegade knight; desc=He isn't very friendly; cmd=; level = 50
[278]  name=Davon; desc=An amulet trader; cmd=; level = 35
[279]  name=Bartender; desc=I could get some grog off him; cmd=; level = 0
[280]  name=Arhein; desc=A merchant; cmd=; level = 0
[281]  name=Morgan le faye; desc=An evil sorceress; cmd=; level = 35
[282]  name=Candlemaker; desc=He makes and sells candles; cmd=; level = 15
[283]  name=lady; desc=She has a hint of magic about her; cmd=; level = 0
[284]  name=lady; desc=She has a hint of magic about her; cmd=; level = 0
[285]  name=lady; desc=She has a hint of magic about her; cmd=; level = 0
[286]  name=Beggar; desc=A scruffy looking chap; cmd=; level = 9
[287]  name=Merlin; desc=An old wizard; cmd=; level = 20
[288]  name=Thrantax; desc=A freshly summoned demon; cmd=; level = 90
[289]  name=Hickton; desc=The owner of the archery store; cmd=; level = 0
[290]  name=Black Demon; desc=A big scary jet black demon; cmd=; level = 155
[291]  name=Black Dragon; desc=A fierce dragon with black scales!; cmd=; level = 210
[292]  name=Poison Spider; desc=I think this spider has been genetically modified; cmd=; level = 60
[293]  name=Monk of Zamorak; desc=An evil cleric; cmd=; level = 48
[294]  name=Hellhound; desc=Hello nice doggy; cmd=; level = 115
[295]  name=Animated axe; desc=a magic axe with a mind of it's own; cmd=; level = 48
[296]  name=Black Unicorn; desc=It's a sort of unicorn; cmd=; level = 31
[297]  name=Frincos; desc=A Peaceful monk; cmd=; level = 12
[298]  name=Otherworldly being; desc=Is he invisible or just a set of floating clothes?; cmd=; level = 66
[299]  name=Owen; desc=He runs a fish exchange store; cmd=; level = 30
[300]  name=Thormac the sorceror; desc=A powerful sorcerrer; cmd=; level = 27
[301]  name=Seer; desc=An old wizard; cmd=; level = 18
[302]  name=Kharid Scorpion; desc=a smaller less dangerous scorpion; cmd=; level = 21
[303]  name=Kharid Scorpion; desc=a smaller less dangerous scorpion; cmd=; level = 21
[304]  name=Kharid Scorpion; desc=a smaller less dangerous scorpion; cmd=; level = 21
[305]  name=Barbarian guard; desc=Not very civilised; cmd=; level = 18
[306]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[307]  name=man; desc=A well dressed nobleman; cmd=; level = 11
[308]  name=gem trader; desc=He sells gems; cmd=; level = 0
[309]  name=Dimintheis; desc=A well dressed nobleman; cmd=; level = 11
[310]  name=chef; desc=A busy looking chef; cmd=; level = 20
[311]  name=Hobgoblin; desc=An ugly green creature; cmd=; level = 49
[312]  name=Ogre; desc=A large dim looking humanoid; cmd=; level = 72
[313]  name=Boot the Dwarf; desc=A short angry guy; cmd=; level = 20
[314]  name=Wizard; desc=A young wizard; cmd=; level = 18
[315]  name=Chronozon; desc=Chronozon the blood demon; cmd=; level = 183
[316]  name=Captain Barnaby; desc=An old sailor; cmd=; level = 20
[317]  name=Customs Official; desc=She's here to stop smugglers; cmd=; level = 23
[318]  name=Man; desc=One of Runescape's citizens; cmd=pickpocket; level = 11
[319]  name=farmer; desc=An humble peasant; cmd=pickpocket; level = 15
[320]  name=Warrior; desc=A skilled fighter; cmd=pickpocket; level = 35
[321]  name=Guard; desc=He tries to keep the law and order around here; cmd=pickpocket; level = 31
[322]  name=Knight; desc=A knight of Ardougne; cmd=pickpocket; level = 55
[323]  name=Paladin; desc=A paladin of Ardougne; cmd=pickpocket; level = 85
[324]  name=Hero; desc=A Hero of Ardougne; cmd=pickpocket; level = 85
[325]  name=Baker; desc=He sells hot baked bread; cmd=; level = 20
[326]  name=silk merchant; desc=He buys silk; cmd=; level = 0
[327]  name=Fur trader; desc=A buyer and seller of animal furs; cmd=; level = 0
[328]  name=silver merchant; desc=He deals in silver; cmd=; level = 0
[329]  name=spice merchant; desc=He sells exotic spices; cmd=; level = 20
[330]  name=gem merchant; desc=He sells gems; cmd=; level = 0
[331]  name=Zenesha; desc=A shopkeeper of some sort; cmd=; level = 35
[332]  name=Kangai Mau; desc=A tribesman; cmd=; level = 0
[333]  name=Wizard Cromperty; desc=An old wizard; cmd=; level = 20
[334]  name=RPDT employee; desc=A delivery man; cmd=; level = 12
[335]  name=Horacio; desc=An old gardener; cmd=; level = 10
[336]  name=Aemad; desc=He helps run the adventurers store; cmd=; level = 15
[337]  name=Kortan; desc=He helps run the adventurers store; cmd=; level = 15
[338]  name=zoo keeper; desc=He looks after Ardougne city zoo; cmd=; level = 20
[339]  name=Make over mage; desc=He can change how I look; cmd=; level = 0
[340]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[341]  name=chuck; desc=A wood merchant; cmd=; level = 0
[342]  name=Rogue; desc=He needs a shave; cmd=pickpocket; level = 24
[343]  name=Shadow spider; desc=Is it a spider or is it a shadow; cmd=; level = 54
[344]  name=Fire Giant; desc=A big guy with red glowing skin; cmd=; level = 110
[345]  name=Grandpa Jack; desc=A wistful old man; cmd=; level = 20
[346]  name=Sinister stranger; desc=not your average fisherman; cmd=; level = 40
[347]  name=Bonzo; desc=Fishing competition organiser; cmd=; level = 30
[348]  name=Forester; desc=He looks after McGrubor's wood; cmd=; level = 24
[349]  name=Morris; desc=Fishing competition organiser; cmd=; level = 30
[350]  name=Brother Omad; desc=A Peaceful monk; cmd=; level = 12
[351]  name=Thief; desc=A dastardly blanket thief; cmd=; level = 24
[352]  name=Head Thief; desc=A dastardly blanket thief; cmd=; level = 34
[353]  name=Big Dave; desc=A well built fisherman; cmd=; level = 15
[354]  name=Joshua; desc=A grumpy fisherman; cmd=; level = 15
[355]  name=Mountain Dwarf; desc=A short angry guy; cmd=; level = 20
[356]  name=Mountain Dwarf; desc=A short angry guy; cmd=; level = 30
[357]  name=Brother Cedric; desc=A Peaceful monk; cmd=; level = 12
[358]  name=Necromancer; desc=A crazy evil necromancer; cmd=; level = 28
[359]  name=zombie; desc=The living dead; cmd=; level = 23
[360]  name=Lucien; desc=He walks with a slight limp; cmd=; level = 24
[361]  name=The Fire warrior of lesarkus; desc=A strange red humanoid; cmd=; level = 72
[362]  name=guardian of Armadyl; desc=A worshipper of Armadyl; cmd=; level = 58
[363]  name=guardian of Armadyl; desc=A worshipper of Armadyl; cmd=; level = 58
[364]  name=Lucien; desc=He walks with a limp; cmd=; level = 24
[365]  name=winelda; desc=A witch; cmd=; level = 35
[366]  name=Brother Kojo; desc=A Peaceful monk; cmd=; level = 12
[367]  name=Dungeon Rat; desc=Overgrown vermin; cmd=; level = 20
[368]  name=Master fisher; desc=The man in charge of the fishing guild; cmd=; level = 15
[369]  name=Orven; desc=He runs a fish exchange store; cmd=; level = 30
[370]  name=Padik; desc=He runs a fish exchange store; cmd=; level = 30
[371]  name=Shopkeeper; desc=He smells of fish; cmd=; level = 0
[372]  name=Lady servil; desc=She look's wealthy; cmd=; level = 1
[373]  name=Guard; desc=It's one of General Khazard's guard's; cmd=; level = 31
[374]  name=Guard; desc=It's one of General Khazard's guard's; cmd=; level = 31
[375]  name=Guard; desc=It's one of General Khazard's guard's; cmd=; level = 31
[376]  name=Guard; desc=It's one of General Khazard's guard's; cmd=; level = 31
[377]  name=Jeremy Servil; desc=A young squire; cmd=; level = 0
[378]  name=Justin Servil; desc=Jeremy servil's father; cmd=; level = 0
[379]  name=fightslave joe; desc=He look's mistreated and weak; cmd=; level = 0
[380]  name=fightslave kelvin; desc=He look's mistreated and weak; cmd=; level = 0
[381]  name=local; desc=A scruffy looking chap; cmd=; level = 9
[382]  name=Khazard Bartender; desc=A tough looking barman; cmd=; level = 0
[383]  name=General Khazard; desc=He look's real nasty; cmd=; level = 75
[384]  name=Khazard Ogre; desc=Khazard's strongest ogre warrior; cmd=; level = 72
[385]  name=Guard; desc=It's one of General Khazard's guard's; cmd=; level = 31
[386]  name=Khazard Scorpion; desc=A large angry scorpion; cmd=; level = 50
[387]  name=hengrad; desc=He look's mistreated and weak; cmd=; level = 0
[388]  name=Bouncer; desc=Hello nice doggy; cmd=; level = 130
[389]  name=Stankers; desc=A cheerful looking fellow; cmd=; level = 0
[390]  name=Docky; desc=An old sailor; cmd=; level = 20
[391]  name=Shopkeeper; desc=Maybe he'd like to buy some of my junk; cmd=; level = 0
[392]  name=Fairy queen; desc=A very little queen; cmd=; level = 2
[393]  name=Merlin; desc=An old wizard; cmd=; level = 20
[394]  name=Crone; desc=A strange old lady; cmd=; level = 35
[395]  name=High priest of entrana; desc=A Peaceful monk; cmd=; level = 12
[396]  name=elkoy; desc=It's a tree gnome; cmd=; level = 3
[397]  name=remsai; desc=It's a tree gnome; cmd=; level = 3
[398]  name=bolkoy; desc=It's a tree gnome; cmd=; level = 3
[399]  name=local gnome; desc=It's a young tree gnome; cmd=; level = 3
[400]  name=bolren; desc=It's a gnome he look's important; cmd=; level = 3
[401]  name=Black Knight titan; desc=He is blocking the way; cmd=; level = 145
