[0]  name=Wall; desc=; cmd1=WalkTo; cmd2=Examine
[59]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[60]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[61]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[62]  name=memberrailings; desc=; cmd1=WalkTo; cmd2=Examine
[63]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[64]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[65]  name=Magic Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[66]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[67]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[68]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[69]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[70]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[71]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[72]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[73]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[74]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[75]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[76]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[77]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[78]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[79]  name=Strange Panel; desc=This wall doesn't look quite right; cmd1=Push; cmd2=Examine
[80]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[81]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[82]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[83]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[84]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[85]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[86]  name=blockblank; desc=; cmd1=WalkTo; cmd2=Examine
[87]  name=unusual looking wall; desc=This wall doesn't look quite right; cmd1=Push; cmd2=Examine
[88]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[89]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[90]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[91]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[92]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[93]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[94]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[95]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[96]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[97]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[98]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[99]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick Lock
[100]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick lock
[101]  name=Fence with loose pannels; desc=I wonder if I could get through this; cmd1=push; cmd2=Examine
[102]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[103]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[104]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[105]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[106]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[107]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[108]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[109]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[110]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[111]  name=rat cage; desc=The rat's have damaged the bars; cmd1=search; cmd2=Examine
[112]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[113]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[114]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[115]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[116]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[117]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[118]  name=arrowslit; desc=; cmd1=WalkTo; cmd2=Examine
[119]  name=solidblank; desc=; cmd1=WalkTo; cmd2=Examine
[120]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[121]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[122]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[123]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[124]  name=loose panel; desc=The panel has worn with age; cmd1=break; cmd2=Examine
[125]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[126]  name=plankswindow; desc=; cmd1=WalkTo; cmd2=Examine
[127]  name=Low Fence; desc=; cmd1=WalkTo; cmd2=Examine
[128]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[129]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[130]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[131]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[132]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[133]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[134]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[135]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[136]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[137]  name=Cooking pot; desc=Smells good!; cmd1=WalkTo; cmd2=Examine
[138]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[139]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[140]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[141]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[142]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[143]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[144]  name=plankstimber; desc=; cmd1=WalkTo; cmd2=Examine
[145]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[146]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[147]  name=magic portal; desc=; cmd1=enter; cmd2=Examine
[148]  name=magic portal; desc=; cmd1=enter; cmd2=Examine
[149]  name=magic portal; desc=; cmd1=enter; cmd2=Examine
[150]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[151]  name=Cavern wall; desc=It looks as if it is covered in some fungus.; cmd1=WalkTo; cmd2=search
[152]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[153]  name=Door; desc=the door is shut; cmd1=walk through; cmd2=Examine
[154]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[155]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[156]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[157]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[158]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[159]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[160]  name=Door; desc=The door is shut; cmd1=walk through; cmd2=Examine
[161]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[162]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Pick Lock
[163]  name=Low wall; desc=; cmd1=jump; cmd2=Examine
[164]  name=Low wall; desc=; cmd1=jump; cmd2=Examine
[165]  name=Blacksmiths Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[166]  name=railings; desc=; cmd1=pick lock; cmd2=Examine
[167]  name=railings; desc=; cmd1=pick lock; cmd2=Examine
[168]  name=railings; desc=; cmd1=pick lock; cmd2=search
[169]  name=railings; desc=; cmd1=pick lock; cmd2=search
[170]  name=railings; desc=; cmd1=pick lock; cmd2=search
[171]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[172]  name=railings; desc=; cmd1=WalkTo; cmd2=look through
[173]  name=Door; desc=The door is shut; cmd1=Open; cmd2=knock on
[174]  name=Doorframe; desc=; cmd1=WalkTo; cmd2=Close
[175]  name=Tent; desc=; cmd1=WalkTo; cmd2=Examine
[176]  name=Jail Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[177]  name=Jail Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[178]  name=Window; desc=A barred window; cmd1=WalkTo; cmd2=Search
[179]  name=magic portal; desc=; cmd1=WalkTo; cmd2=Examine
[180]  name=Jail Door; desc=A solid iron gate; cmd1=Open; cmd2=Examine
[181]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[182]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[183]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[184]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[185]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[186]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[187]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[188]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[189]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[190]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[191]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[192]  name=Cave exit; desc=The way out; cmd1=Leave; cmd2=Examine
[193]  name=railings; desc=; cmd1=WalkTo; cmd2=search
[194]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[195]  name=battlement; desc=This is blocking your path; cmd1=Climb-over; cmd2=Examine
[196]  name=Tent Door; desc=An entrance into the tent; cmd1=Go through; cmd2=Examine
[197]  name=Door; desc=The door is shut; cmd1=Open; cmd2=Examine
[198]  name=Tent Door; desc=An entrance into the tent; cmd1=Go through; cmd2=Examine
[199]  name=Low Fence; desc=; cmd1=search; cmd2=Examine
[200]  name=Sturdy Iron Gate; desc=A solid iron gate; cmd1=Open; cmd2=Examine
[201]  name=battlement; desc=this low wall blocks your path; cmd1=climb over; cmd2=Examine
[202]  name=Water; desc=My waterfall boundary!; cmd1=WalkTo; cmd2=Examine
[203]  name=Wheat; desc=My waterfall boundary!; cmd1=WalkTo; cmd2=Examine
[204]  name=Jungle; desc=My jungle boundary!; cmd1=Chop; cmd2=Examine
