[0]  name=Iron Mace; desc=A spiky mace; cmd=; price = 63; member=0
[244]  name=wig; desc=A blonde wig; cmd=; price = 2; member=0
[245]  name=wig; desc=A wig made from wool; cmd=; price = 2; member=0
[246]  name=Half full wine jug; desc=It's half full of wine; cmd=Drink; price = 1; member=0
[247]  name=Keyprint; desc=An imprint of a key in a lump of clay; cmd=; price = 2; member=0
[248]  name=Black Plate Mail Legs; desc=These look pretty heavy; cmd=; price = 1920; member=0
[249]  name=banana; desc=Mmm this looks tasty; cmd=Eat; price = 2; member=0
[250]  name=pastry dough; desc=Some uncooked dough; cmd=; price = 1; member=0
[251]  name=Pie dish; desc=For making pies in; cmd=; price = 3; member=0
[252]  name=cooking apple; desc=I wonder what i can make with this; cmd=; price = 1; member=0
[253]  name=pie shell; desc=I need to find a filling for this pie; cmd=; price = 1; member=0
[254]  name=Uncooked apple pie; desc=I need to cook this first; cmd=; price = 1; member=0
[255]  name=Uncooked meat pie; desc=I need to cook this first; cmd=; price = 1; member=0
[256]  name=Uncooked redberry pie; desc=I need to cook this first; cmd=; price = 1; member=0
[257]  name=apple pie; desc=Mmm Apple pie; cmd=eat; price = 30; member=0
[258]  name=Redberry pie; desc=Looks tasty; cmd=eat; price = 12; member=0
[259]  name=meat pie; desc=Mighty and meaty; cmd=eat; price = 15; member=0
[260]  name=burntpie; desc=Oops; cmd=empty dish; price = 1; member=0
[261]  name=Half a meat pie; desc=Mighty and meaty; cmd=eat; price = 10; member=0
[262]  name=Half a Redberry pie; desc=Looks tasty; cmd=eat; price = 4; member=0
[263]  name=Half an apple pie; desc=Mmm Apple pie; cmd=eat; price = 5; member=0
[264]  name=Portrait; desc=It's a picture of a knight; cmd=; price = 3; member=0
[265]  name=Faladian Knight's sword; desc=A razor sharp sword; cmd=; price = 200; member=0
[266]  name=blurite ore; desc=What Strange stuff; cmd=; price = 3; member=0
[267]  name=Asgarnian Ale; desc=A glass of frothy ale; cmd=drink; price = 2; member=0
[268]  name=Wizard's Mind Bomb; desc=It's got strange bubbles in it; cmd=drink; price = 2; member=0
[269]  name=Dwarven Stout; desc=A Pint of thick dark beer; cmd=drink; price = 2; member=0
[270]  name=Eye of newt; desc=It seems to be looking at me; cmd=; price = 3; member=0
[271]  name=Rat's tail; desc=A bit of rat; cmd=; price = 3; member=0
[272]  name=Bluedye; desc=A little bottle of dye; cmd=; price = 5; member=0
[273]  name=Goblin Armour; desc=Armour Designed to fit Goblins; cmd=; price = 40; member=0
[274]  name=Goblin Armour; desc=Armour Designed to fit Goblins; cmd=; price = 40; member=0
[275]  name=Goblin Armour; desc=Armour Designed to fit Goblins; cmd=; price = 40; member=0
[276]  name=unstrung Longbow; desc=I need to find a string for this; cmd=; price = 60; member=1
[277]  name=unstrung shortbow; desc=I need to find a string for this; cmd=; price = 23; member=1
[278]  name=Unfired Pie dish; desc=I need to put this in a pottery oven; cmd=; price = 3; member=0
[279]  name=unfired pot; desc=I need to put this in a pottery oven; cmd=; price = 1; member=0
[280]  name=arrow shafts; desc=I need to attach feathers to these; cmd=; price = 1; member=1
[281]  name=Woad Leaf; desc=slightly bluish leaves; cmd=; price = 1; member=0
[282]  name=Orangedye; desc=A little bottle of dye; cmd=; price = 5; member=0
[283]  name=Gold ring; desc=A valuable ring; cmd=; price = 350; member=0
[284]  name=Sapphire ring; desc=A valuable ring; cmd=; price = 900; member=0
[285]  name=Emerald ring; desc=A valuable ring; cmd=; price = 1275; member=0
[286]  name=Ruby ring; desc=A valuable ring; cmd=; price = 2025; member=0
[287]  name=Diamond ring; desc=A valuable ring; cmd=; price = 3525; member=0
[288]  name=Gold necklace; desc=I wonder if this is valuable; cmd=; price = 450; member=0
[289]  name=Sapphire necklace; desc=I wonder if this is valuable; cmd=; price = 1050; member=0
[290]  name=Emerald necklace; desc=I wonder if this is valuable; cmd=; price = 1425; member=0
[291]  name=Ruby necklace; desc=I wonder if this is valuable; cmd=; price = 2175; member=0
[292]  name=Diamond necklace; desc=I wonder if this is valuable; cmd=; price = 3675; member=0
[293]  name=ring mould; desc=Used to make gold rings; cmd=; price = 5; member=0
[294]  name=Amulet mould; desc=Used to make gold amulets; cmd=; price = 5; member=0
[295]  name=Necklace mould; desc=Used to make gold necklaces; cmd=; price = 5; member=0
[296]  name=Gold Amulet; desc=It needs a string so I can wear it; cmd=; price = 350; member=0
[297]  name=Sapphire Amulet; desc=It needs a string so I can wear it; cmd=; price = 900; member=0
[298]  name=Emerald Amulet; desc=It needs a string so I can wear it; cmd=; price = 1275; member=0
[299]  name=Ruby Amulet; desc=It needs a string so I can make wear it; cmd=; price = 2025; member=0
[300]  name=Diamond Amulet; desc=It needs a string so I can wear it; cmd=; price = 3525; member=0
[301]  name=Gold Amulet; desc=I wonder if I can get this enchanted; cmd=; price = 350; member=0
[302]  name=Sapphire Amulet; desc=I wonder if I can get this enchanted; cmd=; price = 900; member=0
[303]  name=Emerald Amulet; desc=I wonder if I can get this enchanted; cmd=; price = 1275; member=0
[304]  name=Ruby Amulet; desc=I wonder if I can get this enchanted; cmd=; price = 2025; member=0
[305]  name=Diamond Amulet; desc=I wonder if I can get this enchanted; cmd=; price = 3525; member=0
[306]  name=superchisel; desc=I wonder if I can get this enchanted; cmd=twiddle; price = 3525; member=1
[307]  name=Mace of Zamorak; desc=This mace gives me the creeps; cmd=; price = 4500; member=0
[308]  name=Bronze Plate Mail top; desc=Armour designed for females; cmd=; price = 160; member=0
[309]  name=Steel Plate Mail top; desc=Armour designed for females; cmd=; price = 2000; member=0
[310]  name=Mithril Plate Mail top; desc=Armour designed for females; cmd=; price = 5200; member=0
[311]  name=Adamantite Plate Mail top; desc=Armour designed for females; cmd=; price = 12800; member=0
[312]  name=Iron Plate Mail top; desc=Armour designed for females; cmd=; price = 560; member=0
[313]  name=Black Plate Mail top; desc=Armour designed for females; cmd=; price = 3840; member=0
[314]  name=Sapphire Amulet of magic; desc=It improves my magic; cmd=; price = 900; member=0
[315]  name=Emerald Amulet of protection; desc=It improves my defense; cmd=; price = 1275; member=0
[316]  name=Ruby Amulet of strength; desc=It improves my damage; cmd=; price = 2025; member=0
[317]  name=Diamond Amulet of power; desc=A powerful amulet; cmd=; price = 3525; member=0
[318]  name=Karamja Rum; desc=A very strong spirit brewed in Karamja; cmd=; price = 30; member=0
[319]  name=Cheese; desc=It's got holes in it; cmd=Eat; price = 4; member=0
[320]  name=Tomato; desc=This would make good ketchup; cmd=Eat; price = 4; member=0
[321]  name=Pizza Base; desc=I need to add some tomato next; cmd=; price = 4; member=0
[322]  name=Burnt Pizza; desc=Oh dear!; cmd=; price = 1; member=0
[323]  name=Incomplete Pizza; desc=I need to add some cheese next; cmd=; price = 10; member=0
[324]  name=Uncooked Pizza; desc=This needs cooking; cmd=; price = 25; member=0
[325]  name=Plain Pizza; desc=A cheese and tomato pizza; cmd=Eat; price = 40; member=0
[326]  name=Meat Pizza; desc=A pizza with bits of meat on it; cmd=Eat; price = 50; member=0
[327]  name=Anchovie Pizza; desc=A Pizza with Anchovies; cmd=Eat; price = 60; member=0
[328]  name=Half Meat Pizza; desc=Half of this pizza has been eaten; cmd=Eat; price = 25; member=0
[329]  name=Half Anchovie Pizza; desc=Half of this pizza has been eaten; cmd=Eat; price = 30; member=0
[330]  name=Cake; desc=A plain sponge cake; cmd=Eat; price = 50; member=0
[331]  name=Burnt Cake; desc=Argh what a mess!; cmd=; price = 1; member=0
[332]  name=Chocolate Cake; desc=This looks very tasty!; cmd=Eat; price = 70; member=0
[333]  name=Partial Cake; desc=Someone has eaten a big chunk of this cake; cmd=Eat; price = 30; member=0
[334]  name=Partial Chocolate Cake; desc=Someone has eaten a big chunk of this cake; cmd=Eat; price = 50; member=0
[335]  name=Slice of Cake; desc=I'd rather have a whole cake!; cmd=Eat; price = 10; member=0
[336]  name=Chocolate Slice; desc=A slice of chocolate cake; cmd=Eat; price = 30; member=0
[337]  name=Chocolate Bar; desc=It's a bar of chocolate; cmd=Eat; price = 10; member=0
[338]  name=Cake Tin; desc=Useful for baking cakes; cmd=; price = 10; member=0
[339]  name=Uncooked cake; desc=Now all I need to do is cook it; cmd=; price = 20; member=0
[340]  name=Unfired bowl; desc=I need to put this in a pottery oven; cmd=; price = 2; member=0
[341]  name=Bowl; desc=Useful for mixing things; cmd=; price = 4; member=0
[342]  name=Bowl of water; desc=It's a bowl of water; cmd=; price = 3; member=0
[343]  name=Incomplete stew; desc=I need to add some meat too; cmd=; price = 4; member=0
[344]  name=Incomplete stew; desc=I need to add some potato too; cmd=; price = 4; member=0
