[0]  name=Tree; desc=A pointy tree; cmd1=Chop; cmd2=Examine; name? = tree2
[60]  name=gate; desc=The gate is closed; cmd1=open; cmd2=Examine; name? = woodengateclosed
[61]  name=signpost; desc=To Varrock; cmd1=WalkTo; cmd2=Examine; name? = signpost
[62]  name=signpost; desc=To the tower of wizards; cmd1=WalkTo; cmd2=Examine; name? = signpost
[63]  name=doors; desc=The doors are open; cmd1=WalkTo; cmd2=Close; name? = doubledoorsopen
[64]  name=doors; desc=The doors are shut; cmd1=Open; cmd2=Examine; name? = doubledoorsclosed
[65]  name=signpost; desc=To player owned houses; cmd1=WalkTo; cmd2=Examine; name? = signpost
[66]  name=signpost; desc=To Lumbridge Castle; cmd1=WalkTo; cmd2=Examine; name? = signpost
[67]  name=bookcase; desc=It's a bookcase; cmd1=WalkTo; cmd2=Search; name? = bookcase
[68]  name=henge; desc=these look impressive; cmd1=WalkTo; cmd2=Examine; name? = henge
[69]  name=Dolmen; desc=A sort of ancient altar thingy; cmd1=WalkTo; cmd2=Examine; name? = dolmen
[70]  name=Tree; desc=This tree doesn't look too healthy; cmd1=WalkTo; cmd2=Chop; name? = deadtree1
[71]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[72]  name=Wheat; desc=nice ripe looking wheat; cmd1=WalkTo; cmd2=pick; name? = wheat
[73]  name=sign; desc=The blue moon inn; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[74]  name=sails; desc=The windmill's sails; cmd1=WalkTo; cmd2=Examine; name? = windmillsail
[75]  name=sign; desc=estate agent; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[76]  name=sign; desc=The Jolly boar inn; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[77]  name=Drain; desc=This drainpipe runs from the kitchen to the sewers; cmd1=WalkTo; cmd2=Search; name? = pipe&drain
[78]  name=manhole; desc=A manhole cover; cmd1=open; cmd2=Examine; name? = manholeclosed
[79]  name=manhole; desc=How dangerous - this manhole has been left open; cmd1=climb down; cmd2=close; name? = manholeopen
[80]  name=pipe; desc=a dirty sewer pipe; cmd1=WalkTo; cmd2=Examine; name? = wallpipe
[81]  name=Chest; desc=Perhaps I should search it; cmd1=Search; cmd2=Close; name? = ChestOpen
[82]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[83]  name=barrel; desc=It seems to be full of newt's eyes; cmd1=WalkTo; cmd2=Examine; name? = barrel
[84]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[85]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[86]  name=fountain; desc=I think I see something in the fountain; cmd1=WalkTo; cmd2=Search; name? = fountain
[87]  name=signpost; desc=To Draynor Manor; cmd1=WalkTo; cmd2=Examine; name? = signpost
[88]  name=Tree; desc=This tree doesn't look too healthy; cmd1=Approach; cmd2=Search; name? = deadtree1
[89]  name=sign; desc=General Store; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[90]  name=sign; desc=Lowe's Archery store; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[91]  name=sign; desc=The Clothes Shop; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[92]  name=sign; desc=Varrock Swords; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[93]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[94]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[95]  name=sign; desc=Bob's axes; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[96]  name=sign; desc=The staff shop; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[97]  name=fire; desc=A strongly burning fire; cmd1=WalkTo; cmd2=Examine; name? = firea1
[98]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[99]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[100]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = copperrock1
[101]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[102]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = ironrock1
[103]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[104]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = tinrock1
[105]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[106]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = mithrilrock1
[107]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[108]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = adamiterock1
[109]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[110]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = coalrock1
[111]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[112]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = goldrock1
[113]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[114]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = clayrock1
[115]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[116]  name=web; desc=A spider's web; cmd1=WalkTo; cmd2=Examine; name? = ceilingweb
[117]  name=web; desc=A spider's web; cmd1=WalkTo; cmd2=Examine; name? = floorweb
[118]  name=furnace; desc=A red hot furnace; cmd1=WalkTo; cmd2=Examine; name? = furnace
[119]  name= Range; desc=A hot well stoked range; cmd1=WalkTo; cmd2=Examine; name? = range
[120]  name=Machine; desc=I wonder what it's supposed to do; cmd1=WalkTo; cmd2=Examine; name? = madmachine
[121]  name=Spinning wheel; desc=I can spin wool on this; cmd1=WalkTo; cmd2=Examine; name? = spinningwheel
[122]  name=Lever; desc=The lever is up; cmd1=WalkTo; cmd2=Examine; name? = leverup
[123]  name=Lever; desc=The lever is down; cmd1=WalkTo; cmd2=Examine; name? = leverdown
[124]  name=LeverA; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[125]  name=LeverB; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[126]  name=LeverC; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[127]  name=LeverD; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[128]  name=LeverE; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[129]  name=LeverF; desc=It's a lever; cmd1=Pull; cmd2=Inspect; name? = leverup
[130]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[131]  name=signpost; desc=To the forge; cmd1=WalkTo; cmd2=Examine; name? = signpost
[132]  name=signpost; desc=To the Barbarian's  Village; cmd1=WalkTo; cmd2=Examine; name? = signpost
[133]  name=signpost; desc=To Al Kharid; cmd1=WalkTo; cmd2=Examine; name? = signpost
[134]  name=Compost Heap; desc=A smelly pile of compost; cmd1=WalkTo; cmd2=Search; name? = compost
[135]  name=Coffin; desc=This coffin is closed; cmd1=Open; cmd2=Examine; name? = coffin
[136]  name=Coffin; desc=This coffin is open; cmd1=Search; cmd2=Close; name? = coffin2
[137]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[138]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[139]  name=sign; desc=The Bank of runescape; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[140]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[141]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[142]  name=doors; desc=The doors are shut; cmd1=Open; cmd2=Examine; name? = doubledoorsclosed
[143]  name=torch; desc=A scary torch; cmd1=WalkTo; cmd2=Examine; name? = skulltorcha1
[144]  name=Altar; desc=An altar to the evil God Zamorak; cmd1=Recharge at; cmd2=Examine; name? = chaosaltar
[145]  name=Shield; desc=A display shield; cmd1=WalkTo; cmd2=Examine; name? = wallshield
[146]  name=Grill; desc=some sort of ventilation; cmd1=WalkTo; cmd2=Examine; name? = wallgrill
[147]  name=Cauldron; desc=A very large pot; cmd1=WalkTo; cmd2=drink from; name? = cauldron
[148]  name=Grill; desc=some sort of ventilation; cmd1=Listen; cmd2=Examine; name? = wallgrill
[149]  name=Mine Cart; desc=It's empty; cmd1=WalkTo; cmd2=Examine; name? = minecart
[150]  name=Buffers; desc=Stop the carts falling off the end; cmd1=WalkTo; cmd2=Examine; name? = trackbuffer
[151]  name=Track; desc=Train track; cmd1=WalkTo; cmd2=Examine; name? = trackcurve
[152]  name=Track; desc=Train track; cmd1=WalkTo; cmd2=Examine; name? = trackpoints
[153]  name=Track; desc=Train track; cmd1=WalkTo; cmd2=Examine; name? = trackstraight
[154]  name=Hole; desc=I can see a witches cauldron directly below it; cmd1=WalkTo; cmd2=Examine; name? = hole
[155]  name=ship; desc=A ship to Karamja; cmd1=board; cmd2=Examine; name? = Shipfront
[156]  name=ship; desc=A ship to Karamja; cmd1=board; cmd2=Examine; name? = Shipmiddle
[157]  name=ship; desc=A ship to Karamja; cmd1=board; cmd2=Examine; name? = Shipback
[158]  name=Emergency escape ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[159]  name=sign; desc=Wydin's grocery; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[160]  name=sign; desc=The Rusty Anchor; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[161]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipfront
[162]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipmiddle
[163]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipback
[164]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[165]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[166]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[167]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[168]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[169]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[170]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[171]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[172]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[173]  name=hopper; desc=You put grain in here; cmd1=operate; cmd2=Examine; name? = milltop
[174]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[175]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[176]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = bluriterock1
[177]  name=Doric's anvil; desc=Property of Doric the dwarf; cmd1=WalkTo; cmd2=Examine; name? = anvil
[178]  name=pottery oven; desc=I can fire clay pots in this; cmd1=WalkTo; cmd2=Examine; name? = potteryoven
[179]  name=potter's wheel; desc=I can make clay pots using this; cmd1=WalkTo; cmd2=Examine; name? = potterywheel
[180]  name=gate; desc=A gate from Lumbridge to Al Kharid; cmd1=Open; cmd2=Examine; name? = metalgateclosed
[181]  name=gate; desc=This gate is open; cmd1=WalkTo; cmd2=Examine; name? = metalgateopen
[182]  name=crate; desc=A crate used for storing bananas; cmd1=WalkTo; cmd2=Search; name? = crate
[183]  name=Banana tree; desc=A tree with nice ripe bananas growing on it; cmd1=WalkTo; cmd2=Pick Banana; name? = palm2
[184]  name=Banana tree; desc=There are no bananas left on the tree; cmd1=WalkTo; cmd2=Pick Banana; name? = palm2
[185]  name=crate; desc=A crate used for storing bananas; cmd1=WalkTo; cmd2=Search; name? = crate
[186]  name=Chest; desc=A battered old chest; cmd1=WalkTo; cmd2=Examine; name? = ChestOpen
[187]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[188]  name=Flower; desc=Ooh thats pretty; cmd1=WalkTo; cmd2=Examine; name? = flower
[189]  name=sign; desc=Fishing Supplies; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[190]  name=sign; desc=Jewellers; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[191]  name=Potato; desc=A potato plant; cmd1=WalkTo; cmd2=pick; name? = potato
[192]  name=fish; desc=I can see fish swimming in the water; cmd1=Lure; cmd2=Bait; name? = fishing
[193]  name=fish; desc=I can see fish swimming in the water; cmd1=Net; cmd2=Bait; name? = fishing
[194]  name=fish; desc=I can see fish swimming in the water; cmd1=Harpoon; cmd2=Cage; name? = fishing
[195]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = silverrock1
[196]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[197]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[198]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[199]  name=Ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[200]  name=Monks Altar; desc=Its an Altar; cmd1=Recharge at; cmd2=Examine; name? = altar
[201]  name=Ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[202]  name=Coffin; desc=This coffin is closed; cmd1=Open; cmd2=Examine; name? = coffin
[203]  name=Coffin; desc=This coffin is open; cmd1=Search; cmd2=Close; name? = coffin2
[204]  name=Smashed table; desc=This table has seen better days; cmd1=WalkTo; cmd2=Examine; name? = smashedtable
[205]  name=Fungus; desc=A creepy looking fungus; cmd1=WalkTo; cmd2=Examine; name? = nastyfungus
[206]  name=Smashed chair; desc=This chair is broken; cmd1=WalkTo; cmd2=Examine; name? = smashedchair
[207]  name=Broken pillar; desc=The remains of a pillar; cmd1=WalkTo; cmd2=Examine; name? = brokenpillar
[208]  name=Fallen tree; desc=A fallen tree; cmd1=WalkTo; cmd2=Examine; name? = fallentree
[209]  name=Danger Sign; desc=Danger!; cmd1=WalkTo; cmd2=Examine; name? = dangersign
[210]  name=Hard rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = runiterock1
[211]  name=Soft rock; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks2
[212]  name=Rocks; desc=A rocky outcrop; cmd1=Mine; cmd2=Prospect; name? = rocks1
[213]  name=Gravestone; desc=A big impressive gravestone; cmd1=WalkTo; cmd2=Examine; name? = largegrave
[214]  name=bone; desc=Eep!; cmd1=WalkTo; cmd2=Examine; name? = curvedbone
[215]  name=bone; desc=This would feed a dog for a month; cmd1=WalkTo; cmd2=Examine; name? = largebone
[216]  name=carcass; desc=I think it's dead; cmd1=WalkTo; cmd2=Examine; name? = carcass
[217]  name=animalskull; desc=I wouldn't like to meet a live one; cmd1=WalkTo; cmd2=Examine; name? = animalskull
[218]  name=Vine; desc=A creepy creeper; cmd1=WalkTo; cmd2=Examine; name? = vine
[219]  name=Vine; desc=A creepy creeper; cmd1=WalkTo; cmd2=Examine; name? = vinecorner
[220]  name=Vine; desc=A creepy creeper; cmd1=WalkTo; cmd2=Examine; name? = vinejunction
[221]  name=Chest; desc=Perhaps I should search it; cmd1=WalkTo; cmd2=Examine; name? = ChestOpen
[222]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[223]  name=Ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[224]  name=ship; desc=The Lumbridge Lady; cmd1=board; cmd2=Examine; name? = Shipfront
[225]  name=ship; desc=The Lumbridge Lady; cmd1=board; cmd2=Examine; name? = Shipback
[226]  name=hole; desc=This ship isn't much use with that there; cmd1=WalkTo; cmd2=Examine; name? = brokenwall
[227]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[228]  name=Chest; desc=Perhaps I should search it; cmd1=Search; cmd2=Close; name? = ChestOpen
[229]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[230]  name=Chest; desc=Perhaps I should search it; cmd1=Search; cmd2=Close; name? = ChestOpen
[231]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[232]  name=hole; desc=This ship isn't much use with that there; cmd1=WalkTo; cmd2=Examine; name? = brokenwall
[233]  name=ship; desc=The Lumbridge Lady; cmd1=board; cmd2=Examine; name? = Shipfront
[234]  name=ship; desc=The Lumbridge Lady; cmd1=board; cmd2=Examine; name? = Shipback
[235]  name=Altar of Guthix; desc=A sort of ancient altar thingy; cmd1=Recharge at; cmd2=Examine; name? = dolmen
[236]  name=The Cauldron of Thunder; desc=A very large pot; cmd1=WalkTo; cmd2=Examine; name? = cauldron
[237]  name=Tree; desc=A leafy tree; cmd1=Search; cmd2=Examine; name? = tree
[238]  name=ship; desc=A ship to Entrana; cmd1=board; cmd2=Examine; name? = Shipfront
[239]  name=ship; desc=A ship to Entrana; cmd1=board; cmd2=Examine; name? = Shipmiddle
[240]  name=ship; desc=A ship to Entrana; cmd1=board; cmd2=Examine; name? = Shipback
[241]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipfront
[242]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipmiddle
[243]  name=ship; desc=A ship to Port Sarim; cmd1=board; cmd2=Examine; name? = Shipback
[244]  name=Ladder; desc=it's a ladder leading downwards; cmd1=Climb-Down; cmd2=Examine; name? = ladderdown
[245]  name=Dramen Tree; desc=This tree doesn't look too healthy; cmd1=Chop; cmd2=Examine; name? = dramentree
[246]  name=hopper; desc=You put grain in here; cmd1=operate; cmd2=Examine; name? = milltop
[247]  name=Chest; desc=Perhaps I should search it; cmd1=WalkTo; cmd2=Examine; name? = ChestOpen
[248]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[249]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[250]  name=sign; desc=2-handed swords sold here; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[251]  name=sign; desc=ye olde herbalist; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[252]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[253]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[254]  name=gate; desc=You can pass through this on the members server; cmd1=open; cmd2=Examine; name? = metalgateclosed
[255]  name=Door mat; desc=If I ever get my boots muddy I know where to come; cmd1=search; cmd2=Examine; name? = Doormat
[256]  name=gate; desc=The gate is closed; cmd1=open; cmd2=Examine; name? = metalgateclosed
[257]  name=Cauldron; desc=A very large pot; cmd1=WalkTo; cmd2=Examine; name? = cauldron
[258]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[259]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[260]  name=gate; desc=The bank vault gate; cmd1=open; cmd2=Examine; name? = metalgateclosed
[261]  name=fish; desc=I can see fish swimming in the water; cmd1=Net; cmd2=Harpoon; name? = fishing
[262]  name=sign; desc=Harry's fishing shack; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[263]  name=cupboard; desc=The cupboard is shut; cmd1=open; cmd2=Examine; name? = cupboard
[264]  name=cupboard; desc=Perhaps I should search it; cmd1=Search; cmd2=close; name? = cupboardopen
[265]  name=Chest; desc=Perhaps I should search it; cmd1=Search; cmd2=Close; name? = ChestOpen
[266]  name=Chest; desc=I wonder what is inside...; cmd1=Open; cmd2=Examine; name? = ChestClosed
[267]  name=sign; desc=The shrimp and parrot; cmd1=WalkTo; cmd2=Examine; name? = shopsign
[268]  name=signpost; desc=Palm Street; cmd1=WalkTo; cmd2=Examine; name? = signpost
[269]  name=Rockslide; desc=A pile of rocks blocks your path; cmd1=Mine; cmd2=Prospect; name? = rock3
[270]  name=Ladder; desc=it's a ladder leading upwards; cmd1=Climb-Up; cmd2=Examine; name? = ladder
[271]  name=fish; desc=I can see fish swimming in the lava!; cmd1=Bait; cmd2=Examine; name? = fishing
[272]  name=barrel; desc=Its got ale in it; cmd1=WalkTo; cmd2=Examine; name? = barrel
[273]  name=table; desc=It's a sturdy table; cmd1=WalkTo; cmd2=Examine; name? = bigtable
[274]  name=Fireplace; desc=It would be very cold without this; cmd1=WalkTo; cmd2=Examine; name? = fireplacea1
[275]  name=Egg; desc=Thats one big egg!; cmd1=WalkTo; cmd2=Examine; name? = bigegg
[276]  name=Eggs; desc=They'd make an impressive omlette; cmd1=WalkTo; cmd2=Examine; name? = eggs
[277]  name=Stalagmites; desc=Hmm pointy; cmd1=WalkTo; cmd2=Examine; name? = stalagmites
[278]  name=Stool; desc=A simple three legged stool; cmd1=WalkTo; cmd2=Examine; name? = stool
[279]  name=Bench; desc=It doesn't look to comfortable; cmd1=WalkTo; cmd2=Examine; name? = wallbench
[280]  name=table; desc=A round table ideal for knights; cmd1=WalkTo; cmd2=Examine; name? = bigroundtable
